Administrative Counties,Single Year of Age,Female,Male,Difference (Female - Male)
Roscommon County Council,37,518,431,87
Roscommon County Council,38,513,492,21
Roscommon County Council,39,509,470,39
Roscommon County Council,40,556,489,67
Roscommon County Council,41,554,546,8
Roscommon County Council,42,541,538,3
Roscommon County Council,43,535,472,63
Roscommon County Council,44,503,478,25
Roscommon County Council,45,470,481,-11
Roscommon County Council,46,519,481,38
Roscommon County Council,47,502,529,-27
Roscommon County Council,48,484,508,-24
Roscommon County Council,49,455,502,-47
Roscommon County Council,50,502,488,14
Roscommon County Council,51,461,495,-34
Roscommon County Council,52,478,513,-35
Roscommon County Council,53,441,468,-27
Roscommon County Council,54,441,445,-4
Roscommon County Council,55,474,491,-17
Roscommon County Council,56,452,461,-9
Roscommon County Council,57,432,455,-23
Roscommon County Council,58,462,498,-36
Roscommon County Council,59,453,444,9
Roscommon County Council,60,461,432,29
Roscommon County Council,61,437,473,-36
Roscommon County Council,62,439,409,30
Roscommon County Council,63,415,436,-21
Roscommon County Council,64,454,430,24
Roscommon County Council,65,404,423,-19
Roscommon County Council,66,411,412,-1
Roscommon County Council,67,414,419,-5
Roscommon County Council,68,393,401,-8
Roscommon County Council,69,352,406,-54
Roscommon County Council,70,361,395,-34
Roscommon County Council,71,321,355,-34
Roscommon County Council,72,378,291,87
Roscommon County Council,73,298,319,-21
Roscommon County Council,74,307,318,-11
Roscommon County Council,75,289,284,5
Roscommon County Council,76,295,297,-2
Roscommon County Council,77,229,237,-8
Roscommon County Council,78,231,230,1
Roscommon County Council,79,203,219,-16
Roscommon County Council,80,191,171,20
Roscommon County Council,81,184,151,33
Roscommon County Council,82,175,147,28
Roscommon County Council,83,167,150,17
Roscommon County Council,84,130,119,11
Roscommon County Council,85,126,109,17
Roscommon County Council,86,129,106,23
Roscommon County Council,87,134,92,42
Roscommon County Council,88,102,75,27
Roscommon County Council,89,100,49,51
Roscommon County Council,90,88,49,39
Roscommon County Council,91,56,40,16
Roscommon County Council,92,54,22,32
Roscommon County Council,93,51,20,31
Roscommon County Council,94,32,23,9
Roscommon County Council,95,30,8,22
Roscommon County Council,96,19,9,10
Roscommon County Council,97,12,1,11
Roscommon County Council,98,6,1,5
Roscommon County Council,99,6,3,3
Roscommon County Council,100,7,5,2
Sligo County Council,0,367,376,-9
Sligo County Council,1,383,383,0
Sligo County Council,2,360,404,-44
Sligo County Council,3,405,420,-15
Sligo County Council,4,408,412,-4
Sligo County Council,5,392,427,-35
Sligo County Council,6,401,423,-22
Sligo County Council,7,426,508,-82
Sligo County Council,8,461,481,-20
Sligo County Council,9,448,512,-64
Sligo County Council,10,465,553,-88
Sligo County Council,11,459,497,-38
Sligo County Council,12,506,521,-15
Sligo County Council,13,503,480,23
Sligo County Council,14,467,525,-58
Sligo County Council,15,442,512,-70
Sligo County Council,16,455,461,-6
Sligo County Council,17,452,481,-29
Sligo County Council,18,462,435,27
Sligo County Council,19,503,419,84
Sligo County Council,20,450,427,23
Sligo County Council,21,409,449,-40
Sligo County Council,22,404,411,-7
Sligo County Council,23,387,365,22
Sligo County Council,24,364,373,-9
Sligo County Council,25,351,359,-8
Sligo County Council,26,313,316,-3
Sligo County Council,27,294,337,-43
Sligo County Council,28,305,310,-5
Sligo County Council,29,380,327,53
Sligo County Council,30,334,334,0
Sligo County Council,31,361,334,27
Sligo County Council,32,381,361,20
Sligo County Council,33,432,321,111
Sligo County Council,34,416,370,46
Sligo County Council,35,441,399,42
Sligo County Council,36,491,444,47
Sligo County Council,37,515,423,92
Sligo County Council,38,523,493,30
Sligo County Council,39,514,509,5
Sligo County Council,40,538,491,47
Sligo County Council,41,546,509,37
Sligo County Council,42,548,541,7
Sligo County Council,43,557,482,75
Sligo County Council,44,475,506,-31
Sligo County Council,45,508,492,16
Sligo County Council,46,506,469,37
Sligo County Council,47,515,508,7
Sligo County Council,48,479,466,13
Sligo County Council,49,533,448,85
Sligo County Council,50,487,424,63
Sligo County Council,51,440,495,-55
Sligo County Council,52,479,463,16
Sligo County Council,53,424,438,-14
